text,neutral,positive,negative,compound,Sentiment
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt airnewsalerts president droupadimurmu inaugurates new campus indian institute information technology dharwad karnataka ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt airnewsalerts president droupadimurmu inaugurates new campus indian institute information technology dharwad karnataka ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha permanent campus indian institute information technology dharwad iiit d karnataka namma hubbali dharwad ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt airnewsalerts president droupadimurmu inaugurates new campus indian institute information technology dharwad prime minister ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt airnewsalerts president droupadimurmu inaugurates new campus indian institute information technology dharwad prime minister ,0.0,1.0,0.0,0.0,Neutral
rt airnewsalerts president droupadimurmu inaugurates new campus indian institute information technology dharwad prime minister ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt jkambika infront something kerala still indian institute technology guwahati ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
president droupadimurmu inaugurates new campus indian institute information technology dharwad prime min ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
president droupadi murmu inaugurated new campus indian institute information technology dharwad dh ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt jkambika infront something kerala still indian institute technology guwahati ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt davidhundeyin spend millions dollars building equipping staffing funding one world class university modelled ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
indian society technical education dr b r ambedkar national institute technology jalandhar organized ist ,0.0,1.0,0.0,0.0,Neutral
tassaa99 apo ni indian institute technology kanpur ,0.0,1.0,0.0,0.0,Neutral
tassaa99 indian institute space science technology valiamala ,0.0,1.0,0.0,0.0,Neutral
rt biswajitthongam attended 34th foundation day cum fresher meet national institute electronics amp information technology i ,0.0,1.0,0.0,0.0,Neutral
rt imkushagra12 hey guys participate coding contest conducted indian institute information technology nagpur register throu ,0.0,1.0,0.0,0.0,Neutral
hey guys participate coding contest conducted indian institute information technology nagpur register ,0.0,1.0,0.0,0.0,Neutral
rt kamall282 differential equations proposed nalli from indian institute space science technology thiruvananthapuram my sol ,0.0,1.0,0.0,0.0,Neutral
differential equations proposed nalli from indian institute space science technology thiruvananthapuram ,0.0,1.0,0.0,0.0,Neutral
differential equations proposed nalli from indian institute space science technology thiruvananthapuram ,0.0,1.0,0.0,0.0,Neutral
davidlochanb rahulgu73746354 mean indian institute technology pakistan ,0.0,1.0,0.0,0.0,Neutral
the indian institute technology iit kanpur extended last date gate 2023 registration without imple ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt monde1012 noname06401912 celiarichards0n docrussjackson mrjamesob peterjukes sathnam campbellclaret bylinetimes briancathcart ,0.0,1.0,0.0,0.0,Neutral
rt eastmojo the researchers indian institute technology roorkee developed process biomarkers tnbc ident ,0.0,1.0,0.0,0.0,Neutral
the researchers indian institute technology roorkee developed process biomarkers tnbc ca ,0.0,1.0,0.0,0.0,Neutral
rt dsciitpatna dsc iit patna brings compose camp facilitated jenil nagrecha you get learn groups amongst developers ,0.0,1.0,0.0,0.0,Neutral
rt dsciitpatna dsc iit patna brings compose camp facilitated jenil nagrecha you get learn groups amongst developers ,0.0,1.0,0.0,0.0,Neutral
dsc iit patna brings compose camp facilitated jenil nagrecha you get learn groups amongst develope ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt kamall282 differential equations proposed nalli from indian institute space science technology thiruvananthapuram my sol ,0.0,1.0,0.0,0.0,Neutral
mr atanu bhowmick director in charge sail rourkela steel plant selected receive prestigious iim ,0.0,1.0,0.0,0.0,Neutral
news the hindu 72 1 500 seats indian institute information technology basar ap oc ,0.0,1.0,0.0,0.0,Neutral
a team researchers indian institute technology iit madras shown spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
indian institute technology madras iit madras researchers shown spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
researchers indian institute technology madras iit m found spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
chennai a team researchers indian institute technology iit madras shown spike protein vac ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
rt ians_india a team researchers indian institute technology iit madras shown spike protein vaccines may effe ,0.0,1.0,0.0,0.0,Neutral
indian institute technology madras iit madras researchers shown spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
rt deccanherald researchers indian institute technology madras iit m found spike protein vaccines may effect ,0.0,1.0,0.0,0.0,Neutral
researchers indian institute technology madras iit m found spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
chennai a team researchers indian institute technology iit madras shown spike protein vac ,0.0,1.0,0.0,0.0,Neutral
a team researchers indian institute technology iit madras shown spike protein vaccines may ,0.0,1.0,0.0,0.0,Neutral
indian institute technology kanpur extended last date register gate2023 ,0.0,1.0,0.0,0.0,Neutral
at indian institute technology mala associate professor continued break new ground stu ,0.0,1.0,0.0,0.0,Neutral
padmashri prof s sivaram felicitated 75th birth anniversary csir indian institute chemical tec ,0.0,1.0,0.0,0.0,Neutral
rt carlesdijous iit delhi launch certificate programme machinelearning deeplearning the indian institute technology delhi ,0.0,1.0,0.0,0.0,Neutral
indian institute technology iit kanpur end gate registration 2023 russian president vladimir putin ,0.0,1.0,0.0,0.0,Neutral
researchers indian institute technology iit mandi collaboration pgmier chandigarh develop ,0.0,1.0,0.0,0.0,Neutral
rt toilucknow prayagraj prof mukul sharad sutaone appointed director indian institute information technology allahabad iiit a ,0.0,1.0,0.0,0.0,Neutral
rt toilucknow prayagraj prof mukul sharad sutaone appointed director indian institute information technology allahabad iiit a ,0.0,1.0,0.0,0.0,Neutral
rt toilucknow prayagraj prof mukul sharad sutaone appointed director indian institute information technology allahabad iiit a ,0.0,1.0,0.0,0.0,Neutral
rt industechtank centre development telematics c dot indian institute technology delhi iitd signed memorandum ,0.0,1.0,0.0,0.0,Neutral
prayagraj prof mukul sharad sutaone appointed director indian institute information technology allahabad iiit a ,0.0,1.0,0.0,0.0,Neutral
rt fasagristudies seminar 6 around corner b satheesha phd scholar indian institute technology delhi presenting th ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt industechtank centre development telematics c dot indian institute technology delhi iitd signed memorandum ,0.0,1.0,0.0,0.0,Neutral
centre development telematics c dot indian institute technology delhi iitd signed memoran ,0.0,1.0,0.0,0.0,Neutral
rt rashtrapatibhvn president droupadi murmu inaugurated new campus indian institute information technology dharwad dharw ,0.0,1.0,0.0,0.0,Neutral
rt csiriict padmashri prof s sivaram felicitated 75th birth anniversary csir indian institute chemical technology h ,0.0,1.0,0.0,0.0,Neutral
rt alephbookco lebu went prison i indian institute technology the story ended jail actually kind ,0.168,0.66,0.173,0.0258,Neutral
indian institute technology delhi launches executive programme supply chain management amp analytics times now ,0.0,1.0,0.0,0.0,Neutral
rt csiriict padmashri prof s sivaram felicitated 75th birth anniversary csir indian institute chemical technology h ,0.0,1.0,0.0,0.0,Neutral
researchers indian institute technology iit mandi collaboration pgmier chandigarh p ,0.0,1.0,0.0,0.0,Neutral
rt csiriict padmashri prof s sivaram felicitated 75th birth anniversary csir indian institute chemical technology h ,0.0,1.0,0.0,0.0,Neutral
rt ram_bhaktha official blueprint indian institute information technology raichur iiit r karnataka corners raichur ,0.0,1.0,0.0,0.0,Neutral
rt pbns_india indian institute technology iit kanpur end gate registration 2023 russian president vladimir putin announc ,0.0,1.0,0.0,0.0,Neutral
rt pbns_india indian institute technology iit kanpur end gate registration 2023 russian president vladimir putin announc ,0.0,1.0,0.0,0.0,Neutral
while filling one time registration form rpsc i get know college name indian institute of engine ,0.0,1.0,0.0,0.0,Neutral
